Average loan size,Number of loans,Total amount disbursed,Number of borrowers
46557.8368931043,37816,1760631159.9496322,37816
816669.8479999996,812,663135916.5759997,812
7237.533538461568,13195,95499255.0400004,13195
406148839.64705884,986,400462755892.0,986
1033733333.3333334,348,359739200000.0,348
966909816.4615384,1508,1458100003224.0,1508
917410014.0,116,106419561624.0,116
977880385.5302013,8642,8450842291752.0,8642
728491987.6578947,2204,1605596340798.0,2204
616973.0,203,125245519.0,203
1372142.2486206894,319,437713377.30999994,319
3500480.769230769,10556,36951075000.0,10556
200000.0,203,40600000.0,203
4006011.856668035,162144,649550786487.5819,162144
2400000.0,67560,162144000000.0,67560
319284.64500000136,406,129629565.87000056,406
213051.34505332966,19560,4167284309.243128,19560
228557.18360602163,108232,24737201096.046932,108232
29551.440240247357,1339800,39593019633.88341,1339800
8233.856541887422,77546,638502639.397202,77546
654729.201059659,2040312,1335851845672.435,2040312
427948.3954612131,48048672,20562352086442.117,48048672
